augclass model testing on...
testset,accuracy,avg precision
progan,0.66125,0.76824213499933
stylegan,0.5477382740777833,0.6283382094114875
biggan,0.49925,0.5069888089280772
cyclegan,0.6044663133989402,0.6705700801369386
stargan,0.5757878939469735,0.6401010303836431
gaugan,0.59,0.6521201071302937
crn,0.5924475086179881,0.790184063409497
imle,0.607724851143842,0.7620804564742637
seeingdark,0.6333333333333333,0.6212500304202422
san,0.454337899543379,0.38406793035456616
deepfake,0.4941720629047179,0.47705358627994
stylegan2,0.5190911367050576,0.5661034972624572
whichfaceisreal,0.4595,0.44870630793994604
