effv2 model testing on...
testset,accuracy,avg precision
progan,0.999875,1.0
stylegan,0.7348522784176265,0.982806146537929
biggan,0.61925,0.8868053739335477
cyclegan,0.8311884935654807,0.9521405672160052
stargan,0.7681340670335167,0.9388481819429909
gaugan,0.8735,0.9828160533461732
crn,0.7967721717329991,0.9778699958307837
imle,0.9156220620495142,0.9938345228425572
seeingdark,0.7861111111111111,0.9134678871597215
san,0.5091324200913242,0.6397589025462834
deepfake,0.5898242368177613,0.8561142704592023
stylegan2,0.7013019529293941,0.984832521241477
whichfaceisreal,0.6965,0.9157445454672585
