sd_latest model testing on...
testset,accuracy,avg precision
progan,0.493875,0.5040794407856195
stylegan,0.49649474211316974,0.5202485564899875
biggan,0.49325,0.4310334580890426
cyclegan,0.5257380772142316,0.7848915944404987
stargan,0.44072036018009003,0.439734452153815
gaugan,0.4994,0.5512936345028356
crn,0.5082262613600752,0.7100647220654814
imle,0.5394860545283611,0.7499011410361406
seeingdark,0.5972222222222222,0.6798382239572228
san,0.5776255707762558,0.7695995452881993
deepfake,0.5826086956521739,0.569575636322919
stylegan2,0.49524286429644465,0.5741792933156742
whichfaceisreal,0.4825,0.5278235875862431
