vitfull model testing on...
testset,accuracy,avg precision
progan,0.99975,0.9999996874218163
stylegan,0.7139041896177599,0.9670411986357987
biggan,0.64525,0.8775223942915688
cyclegan,0.8266464799394398,0.9452639529274015
stargan,0.7173586793396698,0.9284384460662217
gaugan,0.9096,0.9876886031581608
crn,0.7456910059542463,0.9844373525500322
imle,0.9515825759949859,0.998747121952303
seeingdark,0.6694444444444444,0.838317046192714
san,0.5205479452054794,0.6490913472998692
deepfake,0.5143385753931545,0.7352779052955105
stylegan2,0.7081872809213821,0.9766321353631795
whichfaceisreal,0.5745,0.8332359082052019
